 a     R-     ne     Te     Ti     ni    
.0059  1.550  6.897  2.330  2.083  4.138 
.0179  1.538  6.894  2.327  2.081  4.136 
.0299  1.526  6.889  2.321  2.078  4.133 
.0419  1.514  6.880  2.312  2.073  4.128 
.0538  1.502  6.869  2.300  2.066  4.121 
.0657  1.490  6.855  2.287  2.058  4.113 
.0776  1.478  6.839  2.272  2.048  4.103 
.0894  1.466  6.819  2.255  2.038  4.092 
.1013  1.454  6.797  2.237  2.025  4.078 
.1131  1.442  6.772  2.217  2.012  4.063 
.1249  1.430  6.745  2.196  1.998  4.047 
.1367  1.418  6.714  2.174  1.982  4.028 
.1484  1.406  6.681  2.152  1.965  4.009 
.1601  1.394  6.645  2.128  1.948  3.987 
.1717  1.382  6.606  2.103  1.929  3.964 
.1833  1.370  6.565  2.078  1.910  3.939 
.1949  1.358  6.520  2.052  1.890  3.912 
.2065  1.346  6.473  2.026  1.869  3.884 
.2180  1.334  6.424  1.999  1.848  3.854 
.2294  1.322  6.371  1.971  1.825  3.823 
.2409  1.310  6.316  1.944  1.802  3.789 
.2522  1.298  6.257  1.915  1.779  3.754 
.2636  1.286  6.197  1.886  1.755  3.718 
.2748  1.275  6.133  1.857  1.730  3.680 
.2860  1.263  6.067  1.828  1.705  3.640 
.2972  1.251  5.997  1.798  1.679  3.598 
.3083  1.239  5.925  1.768  1.653  3.555 
.3193  1.227  5.851  1.738  1.627  3.510 
.3303  1.216  5.773  1.708  1.600  3.464 
.3412  1.204  5.693  1.677  1.573  3.416 
.3520  1.192  5.610  1.647  1.545  3.366 
.3628  1.181  5.524  1.616  1.517  3.314 
.3734  1.169  5.436  1.584  1.489  3.261 
.3840  1.158  5.344  1.553  1.460  3.207 
.3945  1.146  5.250  1.521  1.431  3.150 
.4049  1.135  5.153  1.490  1.402  3.092 
.4152  1.123  5.054  1.458  1.373  3.032 
.4255  1.112  4.951  1.426  1.343  2.971 
.4356  1.101  4.846  1.393  1.313  2.908 
.4456  1.090  4.738  1.361  1.282  2.843 
.4556  1.079  4.627  1.328  1.251  2.776 
.4654  1.068  4.514  1.295  1.220  2.708 
.4751  1.057  4.398  1.262  1.189  2.639 
.4847  1.046  4.279  1.229  1.157  2.567 
.4942  1.035  4.157  1.195  1.125  2.494 
.5036  1.025  4.032  1.161  1.092  2.419 
.5128  1.014  3.905  1.126  1.059  2.343 
.5220  1.004  3.775  1.092  1.026  2.265 
.5310  .9936  3.642  1.056  .9922  2.185 
.5398  .9834  3.507  1.020  .9579  2.104 
.5486  .9734  3.368  .9841  .9231  2.021 
.5572  .9635  3.227  .9471  .8877  1.936 
.5656  .9537  3.083  .9094  .8516  1.850 
.5739  .9440  2.936  .8710  .8149  1.762 
.5821  .9345  2.787  .8316  .7773  1.672 
.5900  .9252  2.635  .7911  .7388  1.581 
.5979  .9160  2.480  .7495  .6993  1.488 
.6055  .9070  2.322  .7065  .6586  1.393 
.6130  .8981  2.161  .6619  .6165  1.297 
.6203  .8895  1.998  .6154  .5728  1.199 
.6274  .8811  1.832  .5666  .5272  1.099 
.6344  .8728  1.663  .5151  .4792  .9980 
.6411  .8648  1.492  .4602  .4284  .8950 
.6476  .8571  1.317  .4010  .3739  .7904 
.6538  .8496  1.140  .3363  .3145  .6841 
.6598  .8423  .9603  .2638  .2484  .5762 
.6655  .8354  .7777  .1803  .1726  .4666 
.6700  .8300  .6270  .1000  .1000  .3762 
