R	    Ne	    Te	    Ni	    Ti	    qratE0	                qratE0/2	            qratE0/3
-0.670	0.6270	0.1000	0.3762	0.1000	4.34126935299860e-20	6.14681947639077e-20	7.52195325413080e-20
-0.6647	0.7777	0.1803	0.4666	0.1726	4.33797341334975e-20	6.12902196646797e-20	7.49337782543350e-20
-0.658	0.9603	0.2638	0.5762	0.2484	4.33453064313287e-20	6.11092629197561e-20	7.46357170896210e-20
-0.651	1.140	0.3363	0.6841	0.3145	4.33177853424823e-20	6.09504922355579e-20	7.43760057682278e-20
-0.6438	1.317	0.4010	0.7904	0.3739	4.32950216984994e-20	6.08072644219655e-20	7.41429321639849e-20
-0.6363	1.492	0.4602	0.8950	0.4284	4.32720844350613e-20	6.06697532095001e-20	7.39216277373535e-20
-0.6285	1.663	0.5151	0.9980	0.4792	4.32521782227847e-20	6.05414860972795e-20	7.37147899026720e-20
-0.6205	1.832	0.5666	1.099	0.5272	4.32299627480058e-20	6.04172946756423e-20	7.35177423200436e-20
-0.6123	1.998	0.6154	1.199	0.5728	4.32106047283026e-20	6.03011884222670e-20	7.33328801834637e-20
-0.6038	2.161	0.6619	1.297	0.6165	4.32048156152079e-20	6.02092168763724e-20	7.31913424106145e-20
-0.5952	2.322	0.7065	1.393	0.6586	4.32149972716023e-20	6.01548942110894e-20	7.31005905404043e-20
-0.5863	2.480	0.7495	1.488	0.6993	4.32163748368227e-20	6.01031487633203e-20	7.30017950525488e-20
-0.5773	2.635	0.7911	1.581	0.7388	4.32170646824507e-20	6.00552731244199e-20	7.29043483666415e-20
-0.568	2.787	0.8316	1.672	0.7773	4.32158374323089e-20	5.99959996799495e-20	7.28039573249424e-20
-0.5587	2.936	0.8710	1.762	0.8149	4.32130195257886e-20	5.99292287445675e-20	7.27019018387691e-20
-0.5491	3.083	0.9094	1.850	0.8516	4.32056445012416e-20	5.98650067585210e-20	7.26000129259244e-20
-0.5394	3.227	0.9471	1.936	0.8877	4.31881720848190e-20	5.98014059780972e-20	7.24936204534887e-20
-0.5296	3.368	0.9841	2.021	0.9231	4.31700046643607e-20	5.97379535323714e-20	7.23881961494624e-20
-0.5196	3.507	1.020	2.104	0.9579	4.31468679569122e-20	5.96712236800271e-20	7.22795085851170e-20
-0.5094	3.642	1.056	2.185	0.9922	4.31220058166278e-20	5.96031771439622e-20	7.21701519060344e-20
-0.499	3.775	1.092	2.265	1.026	4.30952607306085e-20	5.95321410971335e-20	7.20593706687391e-20
-0.489	3.905	1.126	2.343	1.059	4.30675964193259e-20	5.94600673081497e-20	7.19491372635061e-20
-0.478	4.032	1.161	2.419	1.092	4.30372670264815e-20	5.93850819758168e-20	7.18360291558024e-20
-0.468	4.157	1.195	2.494	1.125	4.30405005962220e-20	5.93563797282260e-20	7.17818162123351e-20
